account,timestamp,symbol,magic,dir,entry,exit,R,PnL,exit_reason,position_id
10679,2026.07.03 17:15,SPX500.gbe,778001,short,7499.5,7506.8,-1.1993,-16.79,SL,63896
10679,2026.07.03 17:15,NAS100.gbe,770077,short,29656.6,29671.1,-0.1543,-2.16,CLOSE,63894
10679,2026.07.07 11:15,EURUSD.gbe,76,long,1.14313,1.14248,-0.975,-13.65,SL,87946
10679,2026.07.08 03:40,JPN225.gbe,778007,long,67924.0,67420.0,-2.2171,-31.04,SL,98262
10679,2026.07.08 10:15,EURUSD.gbe,76,short,1.14193,1.14244,-1.0929,-15.3,SL,101098
10679,2026.07.09 03:50,JPN225.gbe,778010,long,68294.0,67773.0,-2.2907,-32.07,SL,144315
10679,2026.07.09 10:15,EURUSD.gbe,76,short,1.14367,1.14297,0.55,7.7,CLOSE,146829
10679,2026.07.09 16:40,NAS100.gbe,778006,long,29636.4,29445.1,-0.9564,-13.39,SL,152045
10679,2026.07.10 15:15,EURUSD.gbe,76,long,1.1436,1.14265,-1.0179,-14.25,SL,169545
10679,2026.07.10 17:15,NAS100.gbe,770078,long,29731.1,29586.2,-0.9314,-13.04,SL,171183
10679,2026.07.10 18:00,SPX500.gbe,778001,short,7538.6,7562.2,-0.8429,-11.8,SL,177212
10679,2026.07.15 09:45,EURUSD.gbe,76,short,1.14382,1.1428,2.04,28.56,TP,362459
10679,2026.07.16 11:15,EURUSD.gbe,76,short,1.14642,1.14407,2.0143,28.2,TP,375353
10679,2026.07.17 10:30,EURUSD.gbe,76,short,1.14468,1.14359,2.1021,29.43,TP,389069
10679,2026.07.17 17:00,SPX500.gbe,778001,long,7473.6,7487.9,0.3064,4.29,TP,395695
10679,2026.07.17 17:15,NAS100.gbe,770078,long,28619.2,28816.2,0.5629,7.88,CLOSE,396187
10679,2026.07.21 14:45,EURUSD.gbe,76,long,1.14225,1.14165,-1.0286,-14.4,SL,425414
10679,2026.07.22 11:05,GER40.gbe,778003,long,25129.9,25170.6,0.3321,4.65,CLOSE,438648
10679,2026.07.23 04:10,JPN225.gbe,778010,long,66977.0,66650.0,-1.4329,-20.06,SL,450450
10679,2026.07.23 16:40,NAS100.gbe,778006,long,28634.6,28491.2,-0.9221,-12.91,SL,459502
10679,2026.07.24 11:15,EURUSD.gbe,76,short,1.13879,1.13699,1.4143,19.8,CLOSE,470953
10679,2026.07.24 17:00,SPX500.gbe,778001,short,7397.7,7421.4,-1.0157,-14.22,SL,477629
10679,2026.07.24 17:00,NAS100.gbe,770078,short,28160.1,28467.2,-0.8771,-12.28,SL,477630
10679,2026.07.27 10:00,EURUSD.gbe,76,short,1.1408,1.13894,1.9929,27.9,TP,489610
10679,2026.07.29 09:30,GER40.gbe,778003,long,25432.7,25554.5,2.9743,41.64,TP,529607
10679,2026.07.30 04:05,JPN225.gbe,778010,long,62535.0,61922.0,-2.6786,-37.5,SL,549693
10679,2026.07.30 11:15,EURUSD.gbe,76,long,1.14459,1.14693,2.0057,28.08,TP,553318
10679,2026.07.30 16:40,NAS100.gbe,778006,long,27748.2,27900.6,1.8507,25.91,TP,560346
10679,2026.07.31 17:00,NAS100.gbe,770078,short,28230.7,28280.6,-0.1786,-2.5,CLOSE,594863
10679,2026.07.31 17:00,SPX500.gbe,778001,short,7440.2,7467.2,-0.9643,-13.5,SL,594864
10679,2026.08.04 15:00,EURUSD.gbe,76,short,1.15162,1.15234,-1.0286,-14.4,SL,651531
10679,2026.08.05 07:40,JPN225.gbe,778007,long,66124.0,66195.0,0.3214,4.5,CLOSE,669141
10679,2026.08.05 10:00,GER40.gbe,778003,long,26418.1,26379.0,-0.9671,-13.54,SL,673572
10679,2026.08.05 10:30,EURUSD.gbe,76,short,1.15342,1.1547,-1.0057,-14.08,SL,674563
10679,2026.08.06 08:05,JPN225.gbe,778010,long,65774.0,65705.0,-0.3121,-4.37,CLOSE,700987
10679,2026.08.06 16:40,NAS100.gbe,778006,long,29269.7,29504.7,1.5107,21.15,TP,712216
10679,2026.08.07 15:30,EURUSD.gbe,76,short,1.15272,1.15488,-2.16,-30.24,SL,732233
10679,2026.08.07 17:00,NAS100.gbe,770078,short,29562.5,29665.6,-0.5157,-7.22,CLOSE,736737
10679,2026.08.07 17:15,SPX500.gbe,778001,short,7721.6,7744.8,-0.9943,-13.92,SL,737870
10679,2026.08.10 16:15,EURUSD.gbe,76,long,1.15521,1.15452,-1.0843,-15.18,SL,764003
10679,2026.08.11 10:15,EURUSD.gbe,76,long,1.15386,1.1533,-1.04,-14.56,SL,780388
10679,2026.08.12 05:50,JPN225.gbe,778007,long,67267.0,67493.0,1.0129,14.18,CLOSE,800542
10679,2026.08.12 09:40,GER40.gbe,778003,long,26412.2,26468.6,2.3243,32.54,TP,802304
10679,2026.08.13 16:40,NAS100.gbe,778006,long,29933.8,30008.5,0.4271,5.98,TP,838143
10679,2026.08.14 09:30,EURUSD.gbe,76,short,1.15397,1.1544,-1.075,-15.05,SL,853866
10679,2026.08.14 17:30,NAS100.gbe,770078,short,30056.2,29975.5,0.6914,9.68,CLOSE,867122
10679,2026.08.14 17:30,SPX500.gbe,778001,short,7794.5,7780.7,1.2814,17.94,TP,867123
10679,2026.08.19 04:05,JPN225.gbe,778007,long,66009.0,65652.0,-1.5993,-22.39,SL,932412
10679,2026.08.19 09:20,GER40.gbe,778003,long,26137.9,26082.7,-0.915,-12.81,SL,934934
10679,2026.08.20 03:55,JPN225.gbe,778010,long,66242.0,65875.0,-1.6557,-23.18,SL,959871
10679,2026.08.20 10:30,EURUSD.gbe,76,short,1.16797,1.16885,-1.0686,-14.96,SL,963351
10679,2026.08.20 16:40,NAS100.gbe,778006,long,29348.1,29247.3,-1.0079,-14.11,SL,975165
10679,2026.08.21 17:00,NAS100.gbe,770078,short,29221.0,29350.9,-0.9279,-12.99,SL,1000618
10679,2026.08.25 10:15,EURUSD.gbe,76,long,1.16591,1.16742,2.0493,28.69,TP,1101149
10679,2026.08.26 04:55,JPN225.gbe,778007,long,65779.0,66384.0,2.7179,38.05,TP,1136033
10679,2026.08.26 09:35,GER40.gbe,778003,long,26285.5,26238.4,-1.1779,-16.49,SL,1140905
10679,2026.08.26 10:00,EURUSD.gbe,76,long,1.16674,1.16597,-1.155,-16.17,SL,1141609
10679,2026.08.27 17:25,NAS100.gbe,778006,long,29529.4,29565.2,0.23,3.22,SL,1199303
10679,2026.08.28 11:00,EURUSD.gbe,76,long,1.16466,1.16418,-1.0629,-14.88,SL,1219211
10679,2026.08.28 17:15,SPX500.gbe,778001,short,7720.7,7745.0,-1.0414,-14.58,SL,1233705
10679,2026.08.28 17:15,NAS100.gbe,770078,short,29488.2,29640.4,-0.9786,-13.7,SL,1233709
10679,2026.09.01 10:00,EURUSD.gbe,76,long,1.1605,1.16003,-1.1079,-15.51,SL,1280196
10679,2026.09.02 09:55,GER40.gbe,778003,long,25860.3,25805.3,-0.9093,-12.73,SL,1322844
10679,2026.09.02 10:45,EURUSD.gbe,76,long,1.15766,1.15958,2.0571,28.8,TP,1324053
